SENDING DATE,DESTINO,ESTADO,CHOFER,VENDOR,TRACKING NO,DOMICILI,PAYMENT TERMS,REMARK HEADER (OPTIONAL),CAJA (OPTIONAL),PALLET (OPTIONAL),DELIVERY STATUS,SUBTOTAL,TOTAL,DOC NO,DOC DATE,SO REF,CUST NO,TOTAL,REMARKS
02/01/2023,GUANAJUATO,GUANAJUATO,,02AESTMEX,9055200551610703053046,DOMICILIO,PAGADO,,,,ENTREGADO,130,150.69,4639039,02/01/2023,4639039,1190027,864.12,Esperando Codigo C-6702
02/01/2023,GUANAJUATO,GUANAJUATO,,02AESTMEX,9055200551610703053046,DOMICILIO,PAGADO,,,,ENTREGADO,,,4643047,02/01/2023,4643047,1190027,420.48,Esperando Codigo A-1863
02/01/2023,MONTEREY,MONTEREY,,02AESTMEX,9055200551610703053047,DOMICILIO,PAGADO,,,,ENTREGADO,130,150.69,,,,,,
02/01/2023,MONTEREY,MONTEREY,,02AESTMEX,9055200551610703053047,DOMICILIO,PAGADO,,,,ENTREGADO,,,,,,,,
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,900,1000,4639039,02/01/2023,4639039,1190027,864.12,Esperando Codigo C-6702
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4643047,02/01/2023,4643047,1190027,420.48,Esperando Codigo A-1863
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4647055,02/01/2023,4647055,1190027,-23.16,Esperando Codigo C-6703
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4651063,02/01/2023,4651063,1190027,-466.8,Esperando Codigo A-1864
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4655071,02/01/2023,4655071,1190027,-910.44,Esperando Codigo C-6704
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4659079,02/01/2023,4659079,1190027,-1354.08,Esperando Codigo A-1865
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4663087,02/01/2023,4663087,1190027,-1797.72,Esperando Codigo C-6705
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4667095,02/01/2023,4667095,1190027,-2241.36,Esperando Codigo A-1866
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4671103,02/01/2023,4671103,1190027,-2685,Esperando Codigo C-6706
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4675111,02/01/2023,4675111,1190027,-3128.64,Esperando Codigo A-1867
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4679119,02/01/2023,4679119,1190027,-3572.28,Esperando Codigo C-6707
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4683127,02/01/2023,4683127,1190027,-4015.92,Esperando Codigo A-1868
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4687135,02/01/2023,4687135,1190027,-4459.56,Esperando Codigo C-6708
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4691143,02/01/2023,4691143,1190027,-4903.2,Esperando Codigo A-1869
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4695151,02/01/2023,4695151,1190027,-5346.84,Esperando Codigo C-6709
03/01/2023,CANCUN,CANCUN,,02AESTMEX,9055200551610703053048,DOMICILIO,PAGADO,,,,ENTREGADO,,,4699159,02/01/2023,4699159,1190027,-5790.48,Esperando Codigo A-1870
