Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0000005,647.103,750.64,,,,,
OPRC-DLV0000007,727.431,843.82,,,,,
OPRC-DLV0000035,632.371,733.55,,,,,
OPRC-DLV0000036,989.353,1147.65,,,,,
OPRC-DLV0000038,165.31,191.76,,,,,
OPRC-DLV0000039,263.948,306.18,,,,,
OPRC-DLV0000040,618.017,716.9,,,,,
OPRC-DLV0000046,241.957,280.67,,,,,
OPRC-DLV0000050,4594.9,5330.08,,,,,
OPRC-DLV0000055,7381.07,8562.04,,,,,
OPRC-DLV0000057,159.517,185.04,,,,,
OPRC-DLV0000062,233.612,270.99,,,,,
OPRC-DLV0000063,1640.5,1902.98,,,,,
OPRC-DLV0000071,1274.49,1478.41,,,,,
OPRC-DLV0000088,359.172,416.64,,,,,
OPRC-DLV0000089,274.25,318.13,,,,,
OPRC-DLV0000090,827,959.32,,,,,
OPRC-DLV0000092,659.026,764.47,,,,,
OPRC-DLV0000093,949.371,1101.27,,,,,
OPRC-DLV0000094,2654.34,3079.03,,,,,
OPRC-DLV0000095,2654.34,3079.03,,,,,
OPRC-DLV0000096,155.155,179.98,,,,,
OPRC-DLV0000097,434.483,504,,,,,
OPRC-DLV0000100,294.733,341.89,,,,,
OPRC-DLV0000104,400.655,464.76,,,,,
OPRC-DLV0000105,6894,7997.04,,,,,
OPRC-DLV0000106,4594.9,5330.08,,,,,
OPRC-DLV0000117,496.276,575.68,,,,,
OPRC-DLV0000120,1082.45,1255.64,,,,,
OPRC-DLV0000124,278.009,322.49,,,,,
OPRC-DLV0000127,789.44,915.75,,,,,
OPRC-DLV0000140,265.379,307.84,,,,,
OPRC-DLV0000148,1078.04,1250.53,,,,,
OPRC-DLV0000153,519.802,602.97,,,,,
OPRC-DLV0000157,1125.03,1305.03,,,,,
OPRC-DLV0000167,175.026,203.03,,,,,
OPRC-DLV0000174,500.578,580.67,,,,,
OPRC-DLV0000179,94.2759,109.36,,,,,
OPRC-DLV0000180,305.379,354.24,,,,,
OPRC-DLV0000188,292.06,338.79,,,,,
OPRC-DLV0000189,157.198,182.35,,,,,
OPRC-DLV0000222,334.198,387.67,,,,,
OPRC-DLV0000223,263.474,305.63,,,,,
OPRC-DLV0000224,882.302,1023.47,,,,,
OPRC-DLV0000241,514.75,597.11,,,,,
OPRC-DLV0000253,599.948,695.94,,,,,
OPRC-DLV0000255,424.716,492.67,,,,,
OPRC-DLV0000256,215.948,250.5,,,,,
OPRC-DLV0000259,1274.49,1478.41,,,,,
OPRC-DLV0000286,198.474,230.23,,,,,
OPRC-DLV0000309,915.862,1062.4,,,,,
OPRC-DLV0000312,322.56,374.17,,,,,
OPRC-DLV0000316,293.629,340.61,,,,,
OPRC-DLV0000340,131.25,152.25,,,,,
OPRC-DLV0000341,131.25,152.25,,,,,
OPRC-DLV0000349,1274.49,1478.41,,,,,
OPRC-DLV0000350,535.31,620.96,,,,,
OPRC-DLV0000353,696.94,808.45,,,,,
OPRC-DLV0000395,319.397,370.5,,,,,
OPRC-DLV0000398,392.75,455.59,,,,,
OPRC-DLV0000399,189.517,219.84,,,,,
OPRC-DLV0000400,946.207,1097.6,,,,,
